Source,Target,Type
UCHnyfMqiRRG1u-2MsSQLbXA,UCxHeOI0pg0I0x4CFOyUni9Q,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCmafpEjYI9WZH32DT0ebB1g,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCp9fa8BLkst2gO_umj9BjYg,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCY6zVRa3Km52bsBmpyQnk6A,Directed
UCvGMGQC8gNkd4gwxSbABIlw,UCoUXxtd712vGe5p5lBk_eMg,Directed
UCvGMGQC8gNkd4gwxSbABIlw,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed
UCvGMGQC8gNkd4gwxSbABIlw,UCnmgSO_4g6QcRzy0yFeglyA,Directed
UCOGeU-1Fig3rrDjhm9Zs_wg,UCkyfHZ6bY2TjqbJhiH8Y2QQ,Directed
UCOGeU-1Fig3rrDjhm9Zs_wg,UC4a-Gbdw7vOaccHmFo40b9g,Directed
UCOGeU-1Fig3rrDjhm9Zs_wg,UCX6b17PVsYBQ0ip5gyeme-Q,Directed
