Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCkxMlA7rt-mnIc1AjbyAsPw,sexplanations,no,,1090000,460,2731647,not set,2013-05-22T18:28:23Z,3894
UCXfbQAimgtbk4RAUHtIAUww,The Lizzie Bennet Diaries,no,,268000,112,967810,US,2006-03-02T23:25:26Z,6532
UCn4UedbiTeN96izf-CxEPbg,Jam s Germs,no,,111000,100,273335,US,2011-04-05T19:49:42Z,4672
UCdcemy56JtVTrsFIOoqvV8g,ANDREW HUANG,no,,2350000,689,3342599,CA,2006-10-19T22:07:49Z,6301
UC7SMwipBlDwBPEwxq8QD8sw,How to Vote in Every State,no,,7890,62,718,US,2016-07-12T22:24:25Z,2747
UCL2QpphEeZFYwk6-WXD6hpA,Dr. Tracey Marks,no,,1620000,741,1069293,US,2007-08-14T18:52:18Z,6002
UCzBYOHyEEzlkRdDOSobbpvw,Kati Morton,no,,1320000,1538,1277234,US,2011-12-22T03:02:58Z,4412
UCpZ5qUqpW4hW4zdfuBxMSJA,Mental Floss,no,,1330000,686,2164681,US,2011-03-17T19:55:40Z,4691
UCLoj4Tgw6-QbDyyATAyZTlw,WheezyGamer,no,,21600,190,15024,not set,2012-08-10T11:53:34Z,4179
UC21oqMslDhUvQ_HM8EtX03Q,TeamHypercube,no,,14000,491,42672,not set,2012-08-21T02:16:02Z,4169
UCIJ6_pI8ZBc_xVMPYzwQz9g,chuggaaconroy,no,,1270000,3011,12418763,US,2006-07-26T07:46:13Z,6386
UCLCmJiSbIoa_ZFiBOBDf6ZA,TobyGames,no,,6180000,5228,20600582,not set,2010-07-31T21:48:45Z,4920
