Source,Target,Type,Id,Label,Weight
UCsXVk37bltHxD1rDPwtNM8Q,UCzw2KK537iRgsrYnWaEMs8Q,Directed,51266,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCCYb8bp7v9maNk5n3nfw-Lg,Directed,51267,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCn5ASYdp7CzbFH2qtqjIJ9w,Directed,51268,,1
UCsXVk37bltHxD1rDPwtNM8Q,UC8rKCy_tipwTEY3RdkNCKmw,Directed,51269,,1
UCyS-VOHB3LddD700hP0XtmA,UCoEAZNXets3kgOay3ztTc5Q,Directed,51270,,1
UCyS-VOHB3LddD700hP0XtmA,UC7eIxHHUPZaD7uREEa8CQ3w,Directed,51271,,1
UCyS-VOHB3LddD700hP0XtmA,UCz53e-ZYQXb91S_UuRRvWWA,Directed,51272,,1
UCyS-VOHB3LddD700hP0XtmA,UCYf3OcCzB2KoE3p9-Z9stMQ,Directed,51273,,1
UCz8QOKvQ0WW476fCehHiS1A,UCp3koBkcAhvBa-98TvmZB2Q,Directed,51274,,1
UCNzIt2rpwadPI7p94XvLkuA,UC1KjWRBCUGvxDkrhu_-UBWg,Directed,51275,,1
UCNzIt2rpwadPI7p94XvLkuA,UC5ftZbVdju762l2VyC171uA,Directed,51276,,1
UCNzIt2rpwadPI7p94XvLkuA,UCiIPiiSSWfLEztgkK0M4uNg,Directed,51277,,1
UCNzIt2rpwadPI7p94XvLkuA,UCeWftFrrogEeTcrUmSpUk6Q,Directed,51278,,1
UCNzIt2rpwadPI7p94XvLkuA,UCna3Qx48izx8ODR0fLMk0hA,Directed,51279,,1
UCNzIt2rpwadPI7p94XvLkuA,UCMgX40BE8NXzYAjwiGy5khg,Directed,51280,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCE0viBl2kEmnAgA0ZU7ozLg,Directed,51281,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCm1Y_WtObZ2x_0VGc1X7XSg,Directed,51282,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCeWftFrrogEeTcrUmSpUk6Q,Directed,51283,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCNzIt2rpwadPI7p94XvLkuA,Directed,51284,,1
UCiIPiiSSWfLEztgkK0M4uNg,UC1KjWRBCUGvxDkrhu_-UBWg,Directed,51285,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCgOqhYsIiQuj1HEIcOzwQdg,Directed,51286,,1
UCiIPiiSSWfLEztgkK0M4uNg,UC5ftZbVdju762l2VyC171uA,Directed,51287,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCYhH65nE2M8rGwMWvAlVu2A,Directed,51288,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCrpCBgU3UJ_TxK5cdUM-WVQ,Directed,51289,,1
UCiIPiiSSWfLEztgkK0M4uNg,UCLjhtMys-2MJX-64_P0rJOQ,Directed,51290,,1
UCvmkLmnIN-Z0HJEObrlIcdg,UCthUKUdCLSe0P-wyVLE9XeQ,Directed,51291,,1
UCvmkLmnIN-Z0HJEObrlIcdg,UCEM8mimgOIJZK46kpKThl3Q,Directed,51292,,1
UCthUKUdCLSe0P-wyVLE9XeQ,UCvmkLmnIN-Z0HJEObrlIcdg,Directed,51293,,1
UCthUKUdCLSe0P-wyVLE9XeQ,UCEM8mimgOIJZK46kpKThl3Q,Directed,51294,,1
UCeQEKFH31vvD-InkTGSvCrA,UCtyqy6OSBEo7TcmtCOYD-gg,Directed,51295,,1
UCeQEKFH31vvD-InkTGSvCrA,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed,51296,,1
UCeQEKFH31vvD-InkTGSvCrA,UCljCD9VDAO7TWUCyb69SL-Q,Directed,51297,,1
UCeQEKFH31vvD-InkTGSvCrA,UC1zZE_kJ8rQHgLTVfobLi_g,Directed,51298,,1
UCTwi6wQYhnSWpMgJA4d3sdw,UC4a-Gbdw7vOaccHmFo40b9g,Directed,51299,,1
UCoxcjq-8xIDTYp3uz647V5A,UCtwKon9qMt5YLVgQt1tvJKg,Directed,51300,,1
UCoxcjq-8xIDTYp3uz647V5A,UCtESv1e7ntJaLJYKIO1FoYw,Directed,51301,,1
UCoxcjq-8xIDTYp3uz647V5A,UC9-y-6csu5WGm29I7JiwpnA,Directed,51302,,1
UCoxcjq-8xIDTYp3uz647V5A,UCvBqzzvUBLCs8Y7Axb-jZew,Directed,51303,,1
UCoxcjq-8xIDTYp3uz647V5A,UCo-3ThNQmPmQSQL_L6Lx1_w,Directed,51304,,1
UCoxcjq-8xIDTYp3uz647V5A,UCCAgrIbwcJ67zIow1pNF30A,Directed,51305,,1
UCoxcjq-8xIDTYp3uz647V5A,UCyp1gCHZJU_fGWFf2rtMkCg,Directed,51306,,1
UCoxcjq-8xIDTYp3uz647V5A,UCnQtJro3IurKlxp7XSPqpaA,Directed,51307,,1
UCDom90xOqP4avehFjSJO6NA,UC6sWKVFVfuyTk0FTPY4c62Q,Directed,51308,,1
UCDom90xOqP4avehFjSJO6NA,UCA_kqRHsoKxPZ22PPkaGwjA,Directed,51309,,1
UC6107grRI4m0o2-emgoDnAA,UC8VkNBOwvsTlFjoSnNSMmxw,Directed,51310,,1
UC6107grRI4m0o2-emgoDnAA,UC0tq0g5u2bo-TErZt7SJM6w,Directed,51311,,1
UC6107grRI4m0o2-emgoDnAA,UCVnIvJuTZqM5nnwGFpA57_Q,Directed,51312,,1
UC6107grRI4m0o2-emgoDnAA,UCHnyfMqiRRG1u-2MsSQLbXA,Directed,51313,,1
UC6107grRI4m0o2-emgoDnAA,UCQALLeQPoZdZC4JNUboVEUg,Directed,51314,,1
UC6107grRI4m0o2-emgoDnAA,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed,51315,,1
UC6107grRI4m0o2-emgoDnAA,UC7DdEm33SyaTDtWYGO2CwdA,Directed,51316,,1
UC6107grRI4m0o2-emgoDnAA,UCCkFJmUgzrZdkeHl_qPItsA,Directed,51317,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCPZiqlNI3RLyF47QTdq93GQ,Directed,51318,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCP6T93Fe7qKYlvb_5Cs8Z4g,Directed,51319,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCg53HWQKuqaAV2u-Acwn7-g,Directed,51320,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCEbU52pOVZ_JNsfQGT0OcHA,Directed,51321,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCbWUEnTRHb3bRdrnovq8iuA,Directed,51322,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCykERqO6KgqYF6t3l_hNVfQ,Directed,51323,,1
UCGi_crMdUZnrcsvkCa8pt-g,UCQDOCKAxfpGz0651lfVFx0g,Directed,51324,,1
